boy,form,age,geometry,arithmetic,algebra,g1,g2,g3,g4,ar1,ar2,ar3,alg1,alg2
1,VII,16.25,55,49,41,40,30,44,15,72,51,17,53,70
2,VII,15.41666667,48,93,79,18,30,44,9,77,88,40,62,86
3,VII,14.91666667,85,65,62,40,27,92,42,80,70,25,70,87
4,VII,14.75,132,59,62,48,40,127,78,60,84,24,53,88
5,VII,15.66666667,125,94,37,50,30,120,79,101,91,37,41,45
6,VII,17.25,68,52,48,20,40,60,30,65,87,20,35,57
7,VII,16,93,53,32,30,40,80,60,58,80,5,30,33
8,VII,14.25,58,60,41,30,30,60,40,56,93,20,42,27
9,VII,18.5,81,87,74,30,28,70,30,73,76,40,46,73
10,VII,15.33333333,80,96,66,38,39,69,30,104,108,35,58,75
11,VII,15.66666667,80,80,27,38,40,86,37,85,75,37,33,45
12,VII,15.58333333,64,91,57,40,40,63,18,86,105,40,53,69
13,VII,16.33333333,111,78,95,39,30,95,58,88,115,40,74,100
14,VII,14.91666667,54,59,41,20,30,60,30,77,65,12,32,46
15,VII,17.83333333,74,46,56,30,30,50,30,67,71,16,55,77
16,U VI,15.25,27,35,40,20,30,35,0,43,48,10,44,56
17,U VI,14.33333333,56,90,53,30,30,50,48,93,121,17,58,72
18,U VI,14,55,112,99,29,22,60,20,103,117,30,79,98
19,U VI,15.66666667,59,35,51,28,40,65,45,44,43,10,46,83
20,U VI,16.41666667,89,71,49,35,35,80,48,89,116,35,50,46
21,U VI,15.75,33,41,62,12,20,32,20,50,66,0,44,84
22,U VI,16.91666667,39,25,53,26,20,44,17,32,40,0,43,56
23,U VI,14.25,96,27,35,40,25,80,42,50,74,27,52,66
24,U VI,16.91666667,60,46,36,30,30,54,20,55,70,10,37,43
25,U VI,15.75,60,43,73,34,30,62,35,65,68,10,62,84
26,U VI,16.41666667,72,48,21,20,30,70,50,64,65,15,20,34
27,U VI,15.25,17,40,11,0,10,2,10,70,74,20,8,20
28,U VI,15.66666667,88,123,43,40,30,65,40,118,128,40,35,28
29,U VI,14.66666667,40,57,45,20,30,50,10,57,70,0,36,70
30,U VI,16.33333333,17,33,36,10,30,20,0,53,38,0,28,36
31,U VI,16.16666667,60,99,82,40,40,70,30,104,88,10,60,60
32,U VI,14.08333333,66,58,40,40,30,55,40,72,65,20,40,58
33,U VI,16.25,33,34,23,1,20,30,20,49,44,10,22,32
34,L VI,14,16,38,7,6,20,10,0,54,69,10,22,10
35,L VI,16,53,11,13,20,20,30,40,33,45,2,21,31
36,L VI,15.16666667,35,30,11,20,30,40,10,34,65,0,10,18
37,L VI,17.91666667,35,48,32,20,40,30,0,58,68,9,30,32
38,L VI,16.5,44,31,29,33,30,40,30,43,69,0,42,42
39,L VI,17.33333333,41,63,28,30,30,17,19,73,75,10,44,18
40,L VI,17.25,55,25,25,30,30,50,10,48,53,5,29,25
41,L VI,14.83333333,35,77,43,20,20,20,10,78,77,10,41,45
42,L VI,15.5,72,51,39,30,30,60,20,56,58,10,38,59
43,L VI,17.83333333,28,21,31,24,30,29,2,36,28,0,36,41
44,L VI,16.25,35,28,2,33,32,33,10,44,51,0,6,4
45,L VI,18.83333333,34,14,18,20,29,30,0,18,26,0,26,17
46,L VI,14.83333333,28,47,35,9,20,20,0,60,56,10,31,36
47,L VI,15.75,38,46,21,18,20,20,16,70,70,10,22,39
48,L VI,16.33333333,44,48,28,30,30,48,18,40,38,10,33,30
49,L VI,15.5,55,40,20,18,19,50,50,58,61,8,28,29
50,L VI,17.41666667,77,43,33,23,30,52,35,46,80,0,25,23
51,U V a,14.58333333,27,26,12,19,30,22,40,47,58,0,21,20
52,U V a,14.66666667,47,31,5,20,30,50,30,35,38,0,14,12
53,U V a,16.08333333,53,34,23,40,38,50,30,50,53,0,25,14
54,U V a,15.58333333,53,69,46,20,30,50,20,54,57,40,36,34
55,U V a,15.16666667,40,53,15,28,30,38,10,58,88,10,16,17
56,U V a,14,37,62,9,30,35,38,14,81,79,20,11,5
57,U V a,13.91666667,28,19,29,13,30,30,0,24,23,10,35,39
58,U V a,16.58333333,23,44,24,20,19,12,0,61,53,5,26,32
59,U V a,14.5,55,53,69,20,23,60,30,55,63,20,52,36
60,U V a,15.91666667,38,48,3,20,20,30,10,55,47,10,6,3
61,U V a,15.25,54,32,25,40,40,60,40,47,56,0,25,21
62,U V a,17.16666667,18,31,29,0,10,10,13,40,58,5,32,34
63,U V a,15.41666667,48,42,17,19,30,40,20,62,82,25,15,26
64,U V a,14.75,71,38,6,40,40,55,46,50,70,2,15,4
65,U V a,17.75,62,50,18,29,38,60,20,63,70,17,15,26
66,U V b,13.25,32,16,7,18,30,28,0,36,40,0,17,8
67,U V b,13.91666667,25,17,8,10,30,30,0,24,8,10,14,20
68,U V b,15.25,26,20,2,10,20,20,10,36,35,2,10,4
69,U V b,14.66666667,61,59,18,40,39,70,38,78,70,20,17,18
70,U V b,14.25,46,24,12,20,40,50,10,28,28,0,13,13
71,U V b,16,12,29,4,2,19,0,12,35,38,0,9,9
72,U V b,15.5,33,36,3,20,29,30,0,36,38,0,6,7
73,U V b,14.58333333,24,39,4,10,30,30,0,45,70,0,10,17
74,U V b,14.33333333,15,18,0,10,10,10,10,37,48,0,0,0
75,U V b,14.33333333,32,31,0,3,19,13,18,50,25,12,0,0
76,U V b,16.25,28,20,5,13,30,30,0,27,18,10,5,4
77,U V b,15.08333333,24,6,0,10,30,30,0,10,8,0,0,0
78,U V b,14.5,33,54,5,8,19,30,20,70,58,10,11,21
79,U V b,14.91666667,32,13,0,10,18,25,26,24,28,0,0,0
80,U V b,14.5,26,20,7,18,30,25,0,39,38,10,9,18
81,U V b,17.58333333,8,41,7,0,10,0,0,46,76,0,10,0
82,U V b,13.75,54,40,16,10,30,44,30,64,58,10,18,24
83,U V b,13.91666667,18,53,13,8,10,10,0,64,60,10,15,16
